claim_id,days_to_claim,amount,incident_type,is_fraud
CLM-1000,226,8385,Bilolycka,0
CLM-1001,225,11765,Glasskada,0
CLM-1002,261,26703,Inbrott,0
CLM-1003,183,17924,Vattenskada,0
CLM-1004,47,168956,Glasskada,1
CLM-1005,213,2799,Vattenskada,0
CLM-1006,271,500,Vattenskada,0
CLM-1007,312,16890,Glasskada,0
CLM-1008,189,28344,Bilolycka,0
CLM-1009,131,18817,Glasskada,0
CLM-1010,119,8220,Inbrott,0
CLM-1011,210,19866,Inbrott,0
CLM-1012,147,15501,Vattenskada,0
CLM-1013,239,6001,Vattenskada,0
CLM-1014,93,17995,Vattenskada,0
CLM-1015,157,14211,Bilolycka,0
CLM-1016,208,17307,Vattenskada,0
CLM-1017,266,26318,Vattenskada,0
CLM-1018,60,500,Bilolycka,0
CLM-1019,308,583,vattenskada,0
CLM-1020,293,26312,Vattenskada,0
CLM-1021,259,5967,Inbrott,0
CLM-1022,303,15977,bilolycka,0
CLM-1023,257,19929,Glasskada,0
CLM-1024,189,22424,Vattenskada,0
CLM-1025,204,16640,Inbrott,0
CLM-1026,105,21020,Bilolycka,0
CLM-1027,271,5994,Vattenskada,0
CLM-1028,320,31710,Oklart/Annat,0
CLM-1029,176,7441,Glasskada,0
CLM-1030,0,32010,Inbrott,0
CLM-1031,97,14566,Bilolycka,0
CLM-1032,263,13953,Bilolycka,0
CLM-1033,278,19814,Glasskada,0
CLM-1034,133,30014,Bilolycka,0
CLM-1035,299,24102,Inbrott,0
CLM-1036,329,11999,Glasskada,0
CLM-1037,221,8088,bilolycka,0
CLM-1038,181,16647,Inbrott,0
CLM-1039,248,8575,Glasskada,0
CLM-1040,0,15519,Bilolycka,1
CLM-1041,141,20516,Vattenskada,0
CLM-1042,243,14207,Bilolycka,0
CLM-1043,227,12113,Inbrott,0
CLM-1044,321,11125,Glasskada,0
CLM-1045,155,790,Bilolycka,0
CLM-1046,189,3594,Bilolycka,0
CLM-1047,76,11242,Glasskada,0
CLM-1048,204,13155,Vattenskada,0
CLM-1049,338,17993,Bilolycka,0
CLM-1050,0,13261,Glasskada,0
CLM-1051,347,26663,Glasskada,0
CLM-1052,107,11359,Bilolycka,0
CLM-1053,255,25399,Vattenskada,0
CLM-1054,84,500,Bilolycka,0
CLM-1055,143,17083,Inbrott,0
CLM-1056,275,2867,Vattenskada,0
CLM-1057,174,16565,Inbrott,0
CLM-1058,293,4366,Vattenskada,0
CLM-1059,252,17411,Inbrott,0
CLM-1060,55,16307,Oklart/Annat,0
CLM-1061,33,22724,Glasskada,0
CLM-1062,217,27130,Vattenskada,0
CLM-1063,291,18530,glasskada,0
